KEY,ENG,RUS,UA,CZ
,,,,
MAIN_MENU,,,,
NG_BUTTON,NEW GAME,НОВАЯ ИГРА,,
CONTINUE_BUTTON,CONTINUE,ПРОДОЛЖИТЬ,,
SETTINGS_BUTTON,SETTINGS,НАСТРОЙКИ,,
LANGUAGE,Language,Язык,,
CONFIRM,Confirm,Выбор,,
CANCEL,Cancel,Отмена,,
,,,,
PAUSE_MENU,,,,
INSIGHT,Insight:,Понимание:,,
POWER,Power:,Сила:,,
UPGRADE,Upgrade! RP:,Улучшить! ОР:,,
SFX,SFX,Звуки,,
MUSIC,Music,Музыка,,
MASTER_SOUND,Master,Все,,
SAVE,Save,Сохранить,,
LOAD,Load,Загрузить,,
,,,,
TRANSITION,,,,
ALISA_RP,Alisa's Reflection Points:,Очки Рефлексии Алисы:,,
LINA_RP,Lina's Reflection Points:,Очки Рефлексии Лины:,,
,,,,
CUTSCENE,,,,
EPILOGUE,EPILOGUE,ЭПИЛОГ,,
EPILOGUE_TITLE,Just good old regular days,Просто старые добрые деньки,,
,,,,
OTHER,,,,
INTERACT,Interact,Взаимодействие,,
,,,,
GUIDE,,,,
SCREEN1,This is queue. Here you can see whos turn it will be.,Это очередь. Здесь можно увидеть поочередность ходов.,,
SCREEN2,This is enemy. You can see its hp and used skills.,Это противник. Здесь можно увидеть его здоровье и использованные умения.,,
SCREEN3,"There will be your good friends. You can see their HP, buffs and skills.",Здесь будут твои хорошие друзья. Здесь ты можешь увидеть их здоровье.,,
SCREEN4,You can only choose from 4 skills per turn. To use skills just push these buttons.,"Ты можешь выбрать только из 4 умений за ход. Чтобы использовать умения, нажми на эти кнопки.",,
SCREEN5,Have fun!,Удачи!,,
